"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"HO.OI","0.23801","0.20223","0.47921","0.08474","0.10280","0.5471 ***","1.9964 ***","129.3214 ***","-0.8704","15.6386","13403.8334 ***","13241.9104 ***","1384.3749 ***","1408"
"HO.SI"," 0.03023"," 0.03353"," 0.20717","-0.15586"," 0.06292","-0.1463","2.4615 ***","22.0372 ***","-5.4804 ***","0.4984","6004.9060 ***","3293.2269 ***","996.6406 ***","1408"
"HO.SIR","0.14904","0.15305","0.39909","0.00225","0.08107","0.2545 ***","2.6214 ***","23.6093 ***","-3.2630","11.9743","10568.8426 ***","10546.0015 ***","1317.4649 ***","1408"
"HO.SP"," 0.13899"," 0.15449"," 0.99008","-0.96576"," 0.35054","-0.1894 ***","3.0873","8.8625","-5.5337 ***","0.2510 ***","4993.3907 ***","5302.4494 ***","1061.8385 ***","1408"
"NG.OI","0.68188","0.67821","1.66810","0.06611","0.43010","0.308 ***","1.8452 ***","100.5000 ***","-1.1555","16.3385","13691.0927 ***","13427.2802 ***","1391.3886 ***","1408"
"NG.SI","-0.05875","-0.05293"," 0.17833","-0.27450"," 0.09739","-0.1038","2.3791 ***","25.1481 ***","-3.5197 ***","7.5160","10575.1998 ***","11855.3346 ***","1345.7362 ***","1408"
"NG.SIR","0.18776","0.16355","0.45984","0.00737","0.12599","0.3944 ***","1.8620 ***","112.4837 ***","-1.8182","14.3913","12970.0234 ***","13216.0479 ***","1379.6175 ***","1408"
"NG.SP","-0.09472","-0.17271"," 0.97460","-0.90505"," 0.39260","0.822 ***","3.0780","158.9306 ***","-5.6417 ***","3.5800","6809.8991 ***","5287.6552 ***","1093.0770 ***","1408"
