"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"Gold 1"," 796.49793"," 613.90000","1888.70000"," 253.00000"," 490.70617","0.4118 ***","1.5652 ***","771.4375 ***","-0.3965","48.7133","67401.7899 ***","67226.2039 ***","6748.7888 ***","6765"
"Gold 2"," 785.70142"," 618.80000","1889.70000"," 253.70000"," 477.39630","0.4375 ***","1.6608 ***","721.3406 ***","-0.3674","47.6340","67383.6622 ***","67190.8936 ***","6748.7129 ***","6765"
"Gold 3"," 787.60637"," 624.80000","1891.90000"," 254.20000"," 476.73612","0.434 ***","1.6595 ***","718.9271 ***","-0.3627","47.6409","67382.3537 ***","67189.4716 ***","6748.7007 ***","6765"
"Gold 4"," 802.41190"," 630.80000","1893.60000"," 254.90000"," 490.46891","0.4145 ***","1.5784 ***","763.3865 ***","-0.4049","48.5845","67397.4360 ***","67222.6558 ***","6748.8594 ***","6765"
"Copper 1","2.05102","2.05100","4.62300","0.60400","1.13041","0.2408 ***","1.5924 ***","623.2136 ***","-1.5870","37.6363","67157.0127 ***","66746.7215 ***","6729.4240 ***","6758"
"Copper 2","2.04805","2.04750","4.62850","0.60600","1.13061","0.2458 ***","1.5905 ***","627.4388 ***","-1.5398","37.7592","67155.3295 ***","66740.0955 ***","6728.8031 ***","6758"
"Copper 3","2.04712","2.04125","4.63250","0.60850","1.13133","0.2489 ***","1.5874 ***","631.6625 ***","-1.5257","37.8981","67158.0142 ***","66743.6958 ***","6729.0458 ***","6758"
"Copper 4","2.04641","2.02700","4.63750","0.61100","1.13266","0.2519 ***","1.5845 ***","635.6532 ***","-1.5518","38.0274","67174.8489 ***","66778.7808 ***","6730.6473 ***","6758"
