"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"GC.OI","0.32395","0.33162","0.74874","0.09858","0.14859","0.2625 ***","1.8822 ***","89.4745 ***","-0.8398","14.6720","12888.7402 ***","12188.5228 ***","1373.8011 ***","1408"
"GC.SI"," 0.17560"," 0.23957"," 0.52122","-0.45054"," 0.23301","-0.8223 ***","2.6586 ***","165.5137 ***","-3.3729","8.1635","10426.3491 ***","7546.1118 ***","1242.3569 ***","1408"
"GC.SIR","0.39526","0.45802","0.69257","0.02250","0.18948","-0.5995 ***","2.0252 ***","140.0909 ***","-2.3293","12.0547","12121.0167 ***","11788.9797 ***","1350.3558 ***","1408"
"GC.SP"," 0.27923"," 0.44155"," 0.91336","-0.87752"," 0.46585","-1.0607 ***","2.9005","264.5853 ***","-3.9588 ***","6.5285","9567.7599 ***","5490.8544 ***","1138.1287 ***","1408"
"HG.OI","0.11785","0.09026","0.33395","0.03151","0.06677","1.1416 ***","3.4703 ***","318.7817 ***","-0.5997","14.2683","13241.3793 ***","12837.7417 ***","1379.8042 ***","1408"
"HG.SI"," 0.02921"," 0.02678"," 0.44133","-0.32383"," 0.15649","0.0789","2.2706 ***","32.6709 ***","-4.5844 ***","1.5687","8474.9999 ***","5617.6511 ***","1192.3021 ***","1408"
"HG.SIR","0.29425","0.29484","0.62368","0.01191","0.12331","0.2477 ***","2.5734 ***","25.0713 ***","-3.6868 ***","6.6279","10053.5075 ***","10291.5047 ***","1321.1133 ***","1408"
"HG.SP"," 0.08581"," 0.05221"," 0.90026","-0.87611"," 0.35016","0.1584","2.3576 ***","30.0952 ***","-4.9638 ***","2.0594","7910.2334 ***","5787.7106 ***","1163.4017 ***","1408"
