"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"TV Heating oil 1","29849.73066","24277.00000","85237.00000"," 8381.40000","16550.18296","0.9416 ***","2.8821","208.8760 ***","-1.7239","15.7046","6633.8001 ***","5000.7289 ***","1170.2122 ***","1408"
"TV Heating oil 2","24852.05652","18874.67500","88383.00000"," 2948.66667","16507.88740","0.9338 ***","3.0042","204.6394 ***","-1.4434","15.9690","8635.7824 ***","6210.6339 ***","1078.8242 ***","1408"
"TV Heating oil 3","10471.43836"," 6294.80000","52566.75000","  542.33333"," 9004.17391","1.1478 ***","3.5799 ***","328.9002 ***","-1.7576","14.5591","10447.4526 ***","7222.6910 ***","1044.2748 ***","1408"
"TV Heating oil 4"," 6002.21990"," 3084.20000","44730.50000","  240.80000"," 5934.74289","1.4985 ***","5.6334 ***","933.8028 ***","-2.0456","13.6000","9034.5833 ***","4340.2911 ***","917.9725 ***","1408"
"TV Natural gas 1"," 71946.82286"," 47363.70000","345292.75000","  3710.40000"," 55758.22364","0.9455 ***","3.2622","213.8123 ***","-1.8767","15.2755","9433.1574 ***","5838.2766 ***","1065.3259 ***","1408"
"TV Natural gas 2"," 40298.78153"," 20997.90000","234357.80000","  1098.40000"," 38764.11910","1.2593 ***","4.2577 ***","464.9357 ***","-1.8909","15.0164","9178.2162 ***","4975.8716 ***","961.0734 ***","1408"
"TV Natural gas 3"," 19335.24750","  8505.80000","122898.60000","   419.80000"," 20565.18850","1.4677 ***","4.8324 ***","702.4687 ***","-2.2129","14.2939","8093.4280 ***","3631.1544 ***","873.3790 ***","1408"
"TV Natural gas 4"," 11787.68145","  5084.10000","100041.40000","   257.40000"," 12942.25338","1.687 ***","6.8064 ***","1517.8181 ***","-2.6123","13.6818","8519.9896 ***","3444.0190 ***","877.9866 ***","1408"
