"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"TV Live cattle 1"," 9311.22537"," 6904.10000","61936.60000","  541.60000"," 8071.51038","1.7448 ***","6.2013 ***","1315.6147 ***","-2.5999","14.2143","2958.8807 ***","2068.1593 ***","962.9907 ***","1408"
"TV Live cattle 2","13434.95415","11620.40000","50521.60000"," 1029.00000"," 8071.21006","0.5494 ***","2.5372 ***","83.4104 ***","-1.8354","16.3776","9832.5030 ***","6879.7494 ***","964.4602 ***","1408"
"TV Live cattle 3"," 5605.67897"," 4554.63333","28624.60000","  759.50000"," 3966.03801","0.8798 ***","3.5022 ***","196.4299 ***","-1.6665","15.7121","10353.6701 ***","6788.4638 ***","961.1430 ***","1408"
"TV Live cattle 4"," 2932.08825"," 1811.10000","14804.80000","  271.60000"," 2521.77674","1.1513 ***","3.6924 ***","339.1719 ***","-1.4286","14.8926","10040.5623 ***","6898.9110 ***","1004.4173 ***","1408"
"TV Feeder cattle 1","1442.26048","1023.20000","9160.60000"," 127.20000","1270.01510","2.1933 ***","8.6019 ***","2969.9041 ***","-8.1543 ***","8.7028","2815.2947 ***","1835.2568 ***","774.9186 ***","1408"
"TV Feeder cattle 2","1893.26985","1481.20000","9739.40000"," 100.20000","1558.39905","1.5155 ***","5.3854 ***","872.7762 ***","-3.8155 ***","12.5106","7113.6740 ***","5019.7462 ***","944.1879 ***","1408"
"TV Feeder cattle 3","1234.22758"," 788.37500","7604.60000","  35.50000","1224.58344","1.9664 ***","7.4715 ***","2080.3761 ***","-6.4873 ***","9.6812","5687.8112 ***","3876.8866 ***","972.6674 ***","1408"
"TV Feeder cattle 4"," 534.02768"," 318.60000","4007.00000","  21.40000"," 554.97901","2.0639 ***","7.9853 ***","2457.6512 ***","-4.8304 ***","10.7060","7667.5049 ***","4666.2824 ***","932.3664 ***","1408"
