"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"Live cattle 1"," 93.32909"," 86.63750","171.00000"," 54.80000"," 26.09193","0.7546 ***","2.6730 ***","673.7205 ***","-1.4547","44.6832","67102.7949 ***","67012.3244 ***","6756.1637 ***","6780"
"Live cattle 2"," 93.35537"," 87.75000","172.30000"," 57.37000"," 25.92975","0.7162 ***","2.5659 ***","632.8749 ***","-1.2976","45.1927","67192.1128 ***","67095.5588 ***","6757.8535 ***","6780"
"Live cattle 3"," 93.48772"," 87.57500","170.42500"," 59.30000"," 25.93945","0.6883 ***","2.4734 ***","613.7092 ***","-1.1064","45.7205","67304.6486 ***","67219.8879 ***","6760.1663 ***","6780"
"Live cattle 4"," 93.56374"," 87.20000","167.05000"," 59.65000"," 25.81596","0.6713 ***","2.3757 ***","619.4006 ***","-1.1360","45.7685","67415.7189 ***","67339.5107 ***","6761.5578 ***","6780"
"Feeder cattle 1","111.48705","102.85000","242.32500"," 48.07000"," 38.54962","1.037 ***","3.8194 ***","1407.2309 ***","-1.1898","42.0760","67577.3893 ***","67497.9065 ***","6775.0064 ***","6792"
"Feeder cattle 2","111.47231","102.78500","242.92500"," 47.65000"," 38.49755","0.9875 ***","3.6112 ***","1209.6822 ***","-1.2081","42.7368","67552.3916 ***","67461.2527 ***","6774.3604 ***","6792"
"Feeder cattle 3","111.61930","103.25000","236.32500"," 50.55000"," 38.39918","0.9603 ***","3.4860 ***","1110.7666 ***","-1.1626","43.1185","67568.8331 ***","67485.4985 ***","6774.7918 ***","6792"
"Feeder cattle 4","111.80052","102.97500","236.12500"," 52.10000"," 38.26308","0.9527 ***","3.4181 ***","1076.8894 ***","-1.0773","43.3280","67606.1635 ***","67525.2778 ***","6775.4086 ***","6792"
