"","Mean","Median","Max","Min","Std.Dev.","Skewness","Kurtosis","Jarque-Bera","ADF","KPSS","Q(10)","Q^2 (10)","ARCH-LM(10)","Obs."
"TV Gold 1"," 27332.13063","  1168.60000","254251.40000","     0.00000"," 48376.45337","2.2232 ***","7.3425 ***","2266.1846 ***","-6.2000 ***","2.5208","2685.0978 ***","2362.0265 ***","950.7612 ***","1408"
"TV Gold 2"," 50545.63554"," 22079.80000","392990.50000","     0.00000"," 68059.31332","1.9256 ***","6.5545 ***","1611.3197 ***","-6.2333 ***","8.5766","1945.7470 ***","1893.6610 ***","848.7362 ***","1408"
"TV Gold 3"," 19515.45784","  1954.90000","469205.80000","     0.00000"," 53017.42400","4.126 ***","22.3876 ***","26046.5899 ***","-8.4954 ***","5.1119","1789.8592 ***","1260.8830 ***","847.5145 ***","1408"
"TV Gold 4"," 1083.64163","  493.60000","43122.80000","    0.00000"," 2408.69498","10.1205 ***","144.1567 ***","1192981.4476 ***","-8.2175 ***","1.2812","1585.1572 ***","505.9467 ***","399.0496 ***","1408"
"TV Copper 1","  864.26768","  390.90000","35905.60000","    0.00000"," 1831.24999","8.9931 ***","132.9785 ***","1010117.5983 ***","-7.9005 ***","0.2654 ***","309.8209 ***","237.9118 ***","262.8369 ***","1408"
"TV Copper 2"," 12153.51867","  1001.80000","187455.80000","     2.80000"," 23214.43283","2.7611 ***","11.5324 ***","6060.0283 ***","-4.6851 ***","10.2431","1971.9163 ***","1558.6253 ***","768.4024 ***","1408"
"TV Copper 3"," 11558.87700","  1914.00000","137294.00000","     4.00000"," 21120.63801","2.5035 ***","9.3337 ***","3824.3049 ***","-4.5366 ***","9.8038","2021.0536 ***","1937.9718 ***","916.2355 ***","1408"
"TV Copper 4","  7167.74129","   704.50000","113093.80000","     2.00000"," 14904.22381","3.6722 ***","19.1639 ***","18492.4186 ***","-6.1041 ***","7.4741","1326.4950 ***","1106.7024 ***","852.8635 ***","1408"
